anzsic_class_code,anzsic_class_name,anzsic_group_code,year,non_employing,emp_1_4,emp_5_19,emp_20_199,emp_200plus,total_businesses,data_source
1132,Ice Cream Manufacturing,113,2025,79.0,47.0,37.0,23.0,0.0,188.0,ABS 8165.0 DC02 Table 1
1133,Cheese and Other Dairy Product Manufacturing,113,2025,121.0,46.0,50.0,59.0,7.0,283.0,ABS 8165.0 DC02 Table 1
1140,Fruit and Vegetable Processing,114,2025,366.0,113.0,106.0,81.0,7.0,673.0,ABS 8165.0 DC02 Table 1
1150,Oil and Fat Manufacturing,115,2025,71.0,18.0,19.0,14.0,3.0,125.0,ABS 8165.0 DC02 Table 1
1161,Grain Mill Product Manufacturing,116,2025,32.0,20.0,15.0,11.0,3.0,81.0,ABS 8165.0 DC02 Table 1
1162,"Cereal, Pasta and Baking Mix Manufacturing",116,2025,132.0,87.0,78.0,37.0,6.0,340.0,ABS 8165.0 DC02 Table 1
1171,Bread Manufacturing (Factory based),117,2025,91.0,60.0,56.0,67.0,5.0,279.0,ABS 8165.0 DC02 Table 1
1172,Cake and Pastry Manufacturing (Factory based),117,2025,298.0,165.0,140.0,85.0,7.0,695.0,ABS 8165.0 DC02 Table 1
1173,Biscuit Manufacturing (Factory based),117,2025,12.0,8.0,22.0,12.0,3.0,55.0,ABS 8165.0 DC02 Table 1
1174,Bakery Product Manufacturing (Non-factory based),117,2025,1438.0,1494.0,1556.0,613.0,7.0,5108.0,ABS 8165.0 DC02 Table 1
1181,Sugar Manufacturing,118,2025,11.0,3.0,4.0,3.0,8.0,29.0,ABS 8165.0 DC02 Table 1
1182,Confectionery Manufacturing,118,2025,147.0,99.0,85.0,41.0,5.0,377.0,ABS 8165.0 DC02 Table 1
1191,"Potato, Corn and Other Crisp Manufacturing",119,2025,4.0,0.0,3.0,3.0,3.0,11.0,ABS 8165.0 DC02 Table 1
1192,Prepared Animal and Bird Feed Manufacturing,119,2025,142.0,48.0,46.0,42.0,5.0,283.0,ABS 8165.0 DC02 Table 1
1199,Other Food Product Manufacturing n.e.c.,119,2025,862.0,470.0,339.0,174.0,19.0,1864.0,ABS 8165.0 DC02 Table 1
1211,"Soft Drink, Cordial and Syrup Manufacturing",121,2025,269.0,105.0,78.0,34.0,4.0,490.0,ABS 8165.0 DC02 Table 1
1212,Beer Manufacturing,121,2025,323.0,166.0,176.0,130.0,4.0,799.0,ABS 8165.0 DC02 Table 1
1213,Spirit Manufacturing,121,2025,103.0,51.0,28.0,14.0,0.0,197.0,ABS 8165.0 DC02 Table 1
1214,Wine and Other Alcoholic Beverage Manufacturing,121,2025,1290.0,507.0,326.0,199.0,10.0,2332.0,ABS 8165.0 DC02 Table 1
1220,Cigarette and Tobacco Product Manufacturing,122,2025,3.0,3.0,0.0,0.0,0.0,4.0,ABS 8165.0 DC02 Table 1
1311,Wool Scouring,131,2025,4.0,4.0,0.0,4.0,0.0,12.0,ABS 8165.0 DC02 Table 1
1312,Natural Textile Manufacturing,131,2025,34.0,15.0,9.0,3.0,0.0,61.0,ABS 8165.0 DC02 Table 1
1313,Synthetic Textile Manufacturing,131,2025,24.0,13.0,11.0,6.0,0.0,54.0,ABS 8165.0 DC02 Table 1
1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",132,2025,264.0,62.0,33.0,14.0,0.0,373.0,ABS 8165.0 DC02 Table 1
1331,Textile Floor Covering Manufacturing,133,2025,37.0,25.0,12.0,13.0,3.0,88.0,ABS 8165.0 DC02 Table 1
1332,"Rope, Cordage and Twine Manufacturing",133,2025,38.0,14.0,16.0,3.0,0.0,71.0,ABS 8165.0 DC02 Table 1
1333,Cut and Sewn Textile Product Manufacturing,133,2025,735.0,409.0,248.0,66.0,3.0,1460.0,ABS 8165.0 DC02 Table 1
1334,Textile Finishing and Other Textile Product Manufacturing,133,2025,404.0,218.0,108.0,13.0,0.0,743.0,ABS 8165.0 DC02 Table 1
1340,Knitted Product Manufacturing,134,2025,52.0,19.0,14.0,3.0,0.0,87.0,ABS 8165.0 DC02 Table 1
1351,Clothing Manufacturing,135,2025,1568.0,580.0,229.0,68.0,5.0,2450.0,ABS 8165.0 DC02 Table 1
1352,Footwear Manufacturing,135,2025,93.0,41.0,18.0,9.0,0.0,162.0,ABS 8165.0 DC02 Table 1
1411,Log Sawmilling,141,2025,284.0,110.0,86.0,53.0,3.0,536.0,ABS 8165.0 DC02 Table 1
1412,Wood Chipping,141,2025,21.0,4.0,8.0,9.0,0.0,43.0,ABS 8165.0 DC02 Table 1
1413,Timber Resawing and Dressing,141,2025,110.0,48.0,30.0,20.0,5.0,213.0,ABS 8165.0 DC02 Table 1
1491,Prefabricated Wooden Building Manufacturing,149,2025,73.0,33.0,24.0,18.0,0.0,148.0,ABS 8165.0 DC02 Table 1
1492,Wooden Structural Fitting and Component Manufacturing,149,2025,2040.0,1453.0,864.0,233.0,5.0,4595.0,ABS 8165.0 DC02 Table 1
1493,Veneer and Plywood Manufacturing,149,2025,18.0,6.0,5.0,8.0,3.0,39.0,ABS 8165.0 DC02 Table 1
1494,Reconstituted Wood Product Manufacturing,149,2025,19.0,13.0,17.0,9.0,0.0,59.0,ABS 8165.0 DC02 Table 1
1499,Other Wood Product Manufacturing n.e.c.,149,2025,402.0,150.0,100.0,63.0,4.0,719.0,ABS 8165.0 DC02 Table 1
1510,"Pulp, Paper and Paperboard Manufacturing",151,2025,53.0,26.0,16.0,14.0,5.0,114.0,ABS 8165.0 DC02 Table 1
1521,Corrugated Paperboard and Paperboard Container Manufacturing,152,2025,49.0,24.0,39.0,15.0,4.0,131.0,ABS 8165.0 DC02 Table 1
1522,Paper Bag Manufacturing,152,2025,5.0,0.0,0.0,5.0,0.0,14.0,ABS 8165.0 DC02 Table 1
1523,Paper Stationery Manufacturing,152,2025,87.0,37.0,26.0,16.0,0.0,166.0,ABS 8165.0 DC02 Table 1
1524,Sanitary Paper Product Manufacturing,152,2025,18.0,8.0,8.0,8.0,4.0,46.0,ABS 8165.0 DC02 Table 1
1529,Other Converted Paper Product Manufacturing,152,2025,110.0,42.0,26.0,23.0,3.0,204.0,ABS 8165.0 DC02 Table 1
1611,Printing,161,2025,1901.0,1312.0,659.0,184.0,5.0,4061.0,ABS 8165.0 DC02 Table 1
1612,Printing Support Services,161,2025,379.0,177.0,59.0,12.0,0.0,627.0,ABS 8165.0 DC02 Table 1
1620,Reproduction of Recorded Media,162,2025,238.0,108.0,29.0,15.0,0.0,390.0,ABS 8165.0 DC02 Table 1
1701,Petroleum Refining and Petroleum Fuel Manufacturing,170,2025,93.0,54.0,17.0,5.0,3.0,171.0,ABS 8165.0 DC02 Table 1
1709,Other Petroleum and Coal Product Manufacturing,170,2025,73.0,28.0,27.0,22.0,0.0,151.0,ABS 8165.0 DC02 Table 1
1811,Industrial Gas Manufacturing,181,2025,59.0,17.0,11.0,3.0,3.0,91.0,ABS 8165.0 DC02 Table 1
1812,Basic Organic Chemical Manufacturing,181,2025,68.0,38.0,20.0,14.0,0.0,140.0,ABS 8165.0 DC02 Table 1
1813,Basic Inorganic Chemical Manufacturing,181,2025,38.0,22.0,16.0,9.0,7.0,92.0,ABS 8165.0 DC02 Table 1
1821,Synthetic Resin and Synthetic Rubber Manufacturing,182,2025,126.0,60.0,60.0,26.0,4.0,276.0,ABS 8165.0 DC02 Table 1
1829,Other Basic Polymer Manufacturing,182,2025,17.0,8.0,9.0,3.0,0.0,37.0,ABS 8165.0 DC02 Table 1
1831,Fertiliser Manufacturing,183,2025,131.0,88.0,54.0,30.0,4.0,307.0,ABS 8165.0 DC02 Table 1
1832,Pesticide Manufacturing,183,2025,44.0,15.0,17.0,5.0,0.0,83.0,ABS 8165.0 DC02 Table 1
1841,Human Pharmaceutical and Medicinal Product Manufacturing,184,2025,293.0,134.0,75.0,72.0,22.0,596.0,ABS 8165.0 DC02 Table 1
1842,Veterinary Pharmaceutical and Medicinal Product Manufacturing,184,2025,41.0,18.0,15.0,16.0,3.0,91.0,ABS 8165.0 DC02 Table 1
1851,Cleaning Compound Manufacturing,185,2025,224.0,101.0,57.0,31.0,3.0,416.0,ABS 8165.0 DC02 Table 1
1852,Cosmetic and Toiletry Preparation Manufacturing,185,2025,634.0,249.0,96.0,45.0,5.0,1029.0,ABS 8165.0 DC02 Table 1
1891,Photographic Chemical Product Manufacturing,189,2025,4.0,0.0,0.0,0.0,0.0,5.0,ABS 8165.0 DC02 Table 1
1892,Explosive Manufacturing,189,2025,7.0,9.0,6.0,8.0,3.0,33.0,ABS 8165.0 DC02 Table 1
1899,Other Basic Chemical Product Manufacturing n.e.c.,189,2025,81.0,40.0,28.0,10.0,0.0,159.0,ABS 8165.0 DC02 Table 1
1911,Polymer Film and Sheet Packaging Material Manufacturing,191,2025,95.0,62.0,51.0,36.0,3.0,247.0,ABS 8165.0 DC02 Table 1
1912,Rigid and Semi-Rigid Polymer Product Manufacturing,191,2025,545.0,298.0,243.0,160.0,12.0,1258.0,ABS 8165.0 DC02 Table 1
1913,Polymer Foam Product Manufacturing,191,2025,37.0,27.0,31.0,19.0,0.0,114.0,ABS 8165.0 DC02 Table 1
1914,Tyre Manufacturing,191,2025,25.0,22.0,12.0,9.0,0.0,68.0,ABS 8165.0 DC02 Table 1
1915,Adhesive Manufacturing,191,2025,21.0,5.0,14.0,6.0,0.0,46.0,ABS 8165.0 DC02 Table 1
1916,Paint and Coatings Manufacturing,191,2025,160.0,85.0,55.0,34.0,5.0,339.0,ABS 8165.0 DC02 Table 1
1919,Other Polymer Product Manufacturing,191,2025,397.0,204.0,149.0,99.0,3.0,850.0,ABS 8165.0 DC02 Table 1
1920,Natural Rubber Product Manufacturing,192,2025,38.0,33.0,35.0,22.0,0.0,130.0,ABS 8165.0 DC02 Table 1
2010,Glass and Glass Product Manufacturing,201,2025,252.0,150.0,102.0,54.0,5.0,563.0,ABS 8165.0 DC02 Table 1
