subdivision_code,subdivision_name,emp_size_band,cohort_2021,surv_rate_1yr,surv_rate_2yr,surv_rate_3yr,surv_rate_4yr,data_source
09,Non-Metallic Mineral Mining and Quarrying,emp_5_19,255,97.6,93.7,91.0,89.0,ABS 8165.0 DC04 Table 1
09,Non-Metallic Mineral Mining and Quarrying,emp_20_199,101,97.0,95.0,94.1,91.1,ABS 8165.0 DC04 Table 1
09,Non-Metallic Mineral Mining and Quarrying,emp_200plus,10,40.0,40.0,40.0,40.0,ABS 8165.0 DC04 Table 1
09,Non-Metallic Mineral Mining and Quarrying,total,1837,91.2,83.8,78.5,74.1,ABS 8165.0 DC04 Table 1
10,Exploration and Other Mining Support Services,non_employing,2596,85.4,74.9,67.6,61.6,ABS 8165.0 DC04 Table 1
10,Exploration and Other Mining Support Services,emp_1_4,1311,91.9,86.6,80.8,75.9,ABS 8165.0 DC04 Table 1
10,Exploration and Other Mining Support Services,emp_5_19,374,96.5,92.8,89.8,87.7,ABS 8165.0 DC04 Table 1
10,Exploration and Other Mining Support Services,emp_20_199,189,97.9,94.7,93.1,90.5,ABS 8165.0 DC04 Table 1
10,Exploration and Other Mining Support Services,emp_200plus,40,92.5,80.0,77.5,72.5,ABS 8165.0 DC04 Table 1
10,Exploration and Other Mining Support Services,total,4509,88.8,80.7,74.6,69.4,ABS 8165.0 DC04 Table 1
11,Food Product Manufacturing,non_employing,3572,78.5,64.1,54.7,47.6,ABS 8165.0 DC04 Table 1
11,Food Product Manufacturing,emp_1_4,3144,87.4,76.0,67.0,59.7,ABS 8165.0 DC04 Table 1
11,Food Product Manufacturing,emp_5_19,2699,92.7,85.1,78.0,71.1,ABS 8165.0 DC04 Table 1
11,Food Product Manufacturing,emp_20_199,1232,96.8,92.9,89.2,84.4,ABS 8165.0 DC04 Table 1
11,Food Product Manufacturing,emp_200plus,136,97.1,91.9,90.4,87.5,ABS 8165.0 DC04 Table 1
11,Food Product Manufacturing,total,10780,87.0,76.5,68.5,61.8,ABS 8165.0 DC04 Table 1
12,Beverage and Tobacco Product Manufacturing,non_employing,1735,86.1,75.4,66.3,58.9,ABS 8165.0 DC04 Table 1
12,Beverage and Tobacco Product Manufacturing,emp_1_4,900,93.3,86.1,81.1,76.4,ABS 8165.0 DC04 Table 1
12,Beverage and Tobacco Product Manufacturing,emp_5_19,514,96.3,92.4,89.5,84.8,ABS 8165.0 DC04 Table 1
12,Beverage and Tobacco Product Manufacturing,emp_20_199,285,99.6,97.2,95.8,93.7,ABS 8165.0 DC04 Table 1
12,Beverage and Tobacco Product Manufacturing,emp_200plus,17,100.0,94.1,88.2,88.2,ABS 8165.0 DC04 Table 1
12,Beverage and Tobacco Product Manufacturing,total,3452,90.7,82.7,76.2,70.5,ABS 8165.0 DC04 Table 1
13,"Textile, Leather, Clothing and Footwear Manufacturing",non_employing,3027,82.8,70.0,60.8,52.4,ABS 8165.0 DC04 Table 1
13,"Textile, Leather, Clothing and Footwear Manufacturing",emp_1_4,1666,90.8,81.9,74.9,67.8,ABS 8165.0 DC04 Table 1
13,"Textile, Leather, Clothing and Footwear Manufacturing",emp_5_19,774,96.9,92.2,87.1,81.8,ABS 8165.0 DC04 Table 1
13,"Textile, Leather, Clothing and Footwear Manufacturing",emp_20_199,202,97.0,97.0,94.1,92.1,ABS 8165.0 DC04 Table 1
13,"Textile, Leather, Clothing and Footwear Manufacturing",emp_200plus,6,100.0,100.0,100.0,100.0,ABS 8165.0 DC04 Table 1
13,"Textile, Leather, Clothing and Footwear Manufacturing",total,5675,87.6,77.6,69.8,62.4,ABS 8165.0 DC04 Table 1
14,Wood Product Manufacturing,non_employing,2582,83.9,70.8,61.9,54.8,ABS 8165.0 DC04 Table 1
14,Wood Product Manufacturing,emp_1_4,1949,92.3,83.8,77.0,70.4,ABS 8165.0 DC04 Table 1
14,Wood Product Manufacturing,emp_5_19,1216,97.5,93.6,90.3,85.3,ABS 8165.0 DC04 Table 1
14,Wood Product Manufacturing,emp_20_199,400,97.0,93.0,90.2,86.5,ABS 8165.0 DC04 Table 1
14,Wood Product Manufacturing,emp_200plus,18,83.3,83.3,83.3,83.3,ABS 8165.0 DC04 Table 1
14,Wood Product Manufacturing,total,6164,90.1,80.9,74.2,67.9,ABS 8165.0 DC04 Table 1
15,"Pulp, Paper and Converted Paper Product Manufacturing",non_employing,287,80.8,69.7,57.1,50.9,ABS 8165.0 DC04 Table 1
15,"Pulp, Paper and Converted Paper Product Manufacturing",emp_1_4,158,90.5,79.1,74.1,65.8,ABS 8165.0 DC04 Table 1
15,"Pulp, Paper and Converted Paper Product Manufacturing",emp_5_19,133,97.0,91.7,86.5,82.0,ABS 8165.0 DC04 Table 1
15,"Pulp, Paper and Converted Paper Product Manufacturing",emp_20_199,79,96.2,96.2,92.4,89.9,ABS 8165.0 DC04 Table 1
15,"Pulp, Paper and Converted Paper Product Manufacturing",emp_200plus,15,100.0,93.3,93.3,93.3,ABS 8165.0 DC04 Table 1
15,"Pulp, Paper and Converted Paper Product Manufacturing",total,672,89.0,81.2,73.5,67.9,ABS 8165.0 DC04 Table 1
16,Printing (including the Reproduction of Recorded Media),non_employing,2363,84.0,70.2,61.0,54.0,ABS 8165.0 DC04 Table 1
16,Printing (including the Reproduction of Recorded Media),emp_1_4,1919,93.3,85.3,77.7,71.3,ABS 8165.0 DC04 Table 1
16,Printing (including the Reproduction of Recorded Media),emp_5_19,869,96.7,92.9,88.3,83.3,ABS 8165.0 DC04 Table 1
16,Printing (including the Reproduction of Recorded Media),emp_20_199,221,97.7,97.3,95.5,88.2,ABS 8165.0 DC04 Table 1
16,Printing (including the Reproduction of Recorded Media),emp_200plus,9,88.9,88.9,88.9,77.8,ABS 8165.0 DC04 Table 1
16,Printing (including the Reproduction of Recorded Media),total,5382,89.9,80.4,72.8,66.4,ABS 8165.0 DC04 Table 1
17,Petroleum and Coal Product Manufacturing,non_employing,139,77.7,68.3,59.0,53.2,ABS 8165.0 DC04 Table 1
17,Petroleum and Coal Product Manufacturing,emp_1_4,73,93.2,86.3,78.1,68.5,ABS 8165.0 DC04 Table 1
17,Petroleum and Coal Product Manufacturing,emp_5_19,47,93.6,85.1,80.9,78.7,ABS 8165.0 DC04 Table 1
17,Petroleum and Coal Product Manufacturing,emp_20_199,24,100.0,95.8,91.7,91.7,ABS 8165.0 DC04 Table 1
17,Petroleum and Coal Product Manufacturing,emp_200plus,6,50.0,0.0,0.0,0.0,ABS 8165.0 DC04 Table 1
17,Petroleum and Coal Product Manufacturing,total,296,86.1,78.4,70.3,65.9,ABS 8165.0 DC04 Table 1
18,Basic Chemical and Chemical Product Manufacturing,non_employing,1543,82.3,68.4,57.4,48.8,ABS 8165.0 DC04 Table 1
18,Basic Chemical and Chemical Product Manufacturing,emp_1_4,787,90.3,80.1,72.8,66.7,ABS 8165.0 DC04 Table 1
18,Basic Chemical and Chemical Product Manufacturing,emp_5_19,450,96.0,93.3,90.9,86.4,ABS 8165.0 DC04 Table 1
18,Basic Chemical and Chemical Product Manufacturing,emp_20_199,277,98.6,96.0,93.1,91.0,ABS 8165.0 DC04 Table 1
18,Basic Chemical and Chemical Product Manufacturing,emp_200plus,46,95.7,95.7,93.5,93.5,ABS 8165.0 DC04 Table 1
18,Basic Chemical and Chemical Product Manufacturing,total,3103,88.2,78.0,70.1,63.5,ABS 8165.0 DC04 Table 1
19,Polymer Product and Rubber Product Manufacturing,non_employing,1164,84.5,72.9,63.1,56.0,ABS 8165.0 DC04 Table 1
19,Polymer Product and Rubber Product Manufacturing,emp_1_4,808,90.6,84.5,76.6,69.8,ABS 8165.0 DC04 Table 1
19,Polymer Product and Rubber Product Manufacturing,emp_5_19,672,97.8,94.6,90.0,86.2,ABS 8165.0 DC04 Table 1
19,Polymer Product and Rubber Product Manufacturing,emp_20_199,357,99.4,96.1,93.8,91.6,ABS 8165.0 DC04 Table 1
19,Polymer Product and Rubber Product Manufacturing,emp_200plus,18,100.0,94.4,94.4,94.4,ABS 8165.0 DC04 Table 1
19,Polymer Product and Rubber Product Manufacturing,total,3020,91.0,83.7,76.7,71.1,ABS 8165.0 DC04 Table 1
20,Non-Metallic Mineral Product Manufacturing,non_employing,1520,81.8,69.7,60.0,54.3,ABS 8165.0 DC04 Table 1
20,Non-Metallic Mineral Product Manufacturing,emp_1_4,1140,91.1,83.1,77.2,70.5,ABS 8165.0 DC04 Table 1
20,Non-Metallic Mineral Product Manufacturing,emp_5_19,719,96.8,91.9,87.8,83.9,ABS 8165.0 DC04 Table 1
20,Non-Metallic Mineral Product Manufacturing,emp_20_199,248,97.2,94.4,91.1,89.1,ABS 8165.0 DC04 Table 1
20,Non-Metallic Mineral Product Manufacturing,emp_200plus,27,100.0,100.0,100.0,85.2,ABS 8165.0 DC04 Table 1
20,Non-Metallic Mineral Product Manufacturing,total,3650,89.0,80.3,73.4,67.9,ABS 8165.0 DC04 Table 1
21,Primary Metal and Metal Product Manufacturing,non_employing,682,83.1,73.2,66.4,58.1,ABS 8165.0 DC04 Table 1
21,Primary Metal and Metal Product Manufacturing,emp_1_4,488,94.5,85.7,80.3,74.2,ABS 8165.0 DC04 Table 1
21,Primary Metal and Metal Product Manufacturing,emp_5_19,420,97.1,93.6,89.3,85.2,ABS 8165.0 DC04 Table 1
21,Primary Metal and Metal Product Manufacturing,emp_20_199,204,98.5,96.6,96.6,92.6,ABS 8165.0 DC04 Table 1
21,Primary Metal and Metal Product Manufacturing,emp_200plus,28,89.3,89.3,82.1,82.1,ABS 8165.0 DC04 Table 1
21,Primary Metal and Metal Product Manufacturing,total,1823,91.4,84.4,79.3,73.1,ABS 8165.0 DC04 Table 1
22,Fabricated Metal Product Manufacturing,non_employing,6329,82.8,70.2,61.4,54.0,ABS 8165.0 DC04 Table 1
22,Fabricated Metal Product Manufacturing,emp_1_4,5046,91.6,84.7,78.1,71.5,ABS 8165.0 DC04 Table 1
22,Fabricated Metal Product Manufacturing,emp_5_19,2889,96.3,92.7,88.5,83.6,ABS 8165.0 DC04 Table 1
22,Fabricated Metal Product Manufacturing,emp_20_199,990,98.2,96.1,94.0,90.6,ABS 8165.0 DC04 Table 1
22,Fabricated Metal Product Manufacturing,emp_200plus,52,96.2,96.2,94.2,88.5,ABS 8165.0 DC04 Table 1
22,Fabricated Metal Product Manufacturing,total,15308,89.3,81.0,74.2,67.8,ABS 8165.0 DC04 Table 1
23,Transport Equipment Manufacturing,non_employing,3002,83.6,71.8,62.5,54.6,ABS 8165.0 DC04 Table 1
23,Transport Equipment Manufacturing,emp_1_4,1955,90.2,82.6,76.9,70.8,ABS 8165.0 DC04 Table 1
23,Transport Equipment Manufacturing,emp_5_19,992,97.0,93.3,89.3,85.0,ABS 8165.0 DC04 Table 1
23,Transport Equipment Manufacturing,emp_20_199,418,95.2,91.9,89.2,88.5,ABS 8165.0 DC04 Table 1
23,Transport Equipment Manufacturing,emp_200plus,47,93.6,91.5,87.2,83.0,ABS 8165.0 DC04 Table 1
23,Transport Equipment Manufacturing,total,6413,88.6,80.0,73.0,66.8,ABS 8165.0 DC04 Table 1
24,Machinery and Equipment Manufacturing,non_employing,5037,83.7,72.1,63.1,56.7,ABS 8165.0 DC04 Table 1
24,Machinery and Equipment Manufacturing,emp_1_4,3598,93.1,86.1,79.8,73.7,ABS 8165.0 DC04 Table 1
