division,subdivision_code,subdivision_name,year,wages_m,iva_m,employment_000,labour_share_pct,data_source
Arts and recreation services,90,Creative and performing arts activities,2024,1525.0,3557.0,47.1,42.87,ABS 8155.0 DO001
Arts and recreation services,91,Sports and recreation activities,2022,5001.0,6951.0,159.4,71.95,ABS 8155.0 DO001
Arts and recreation services,91,Sports and recreation activities,2023,6019.0,9814.0,163.4,61.33,ABS 8155.0 DO001
Arts and recreation services,91,Sports and recreation activities,2024,6658.0,10364.0,186.5,64.24,ABS 8155.0 DO001
Arts and recreation services,92,Gambling activities,2022,1996.0,5275.0,31.9,37.84,ABS 8155.0 DO001
Arts and recreation services,92,Gambling activities,2023,2340.0,5572.0,33.0,42.0,ABS 8155.0 DO001
Arts and recreation services,92,Gambling activities,2024,2507.0,5730.0,32.8,43.75,ABS 8155.0 DO001
Arts and recreation services,92,Gambling activities,2022,8603.0,15113.0,243.0,56.92,ABS 8155.0 DO001
Arts and recreation services,92,Gambling activities,2023,10385.0,19661.0,255.4,52.82,ABS 8155.0 DO001
Arts and recreation services,92,Gambling activities,2024,11271.0,20491.0,277.3,55.0,ABS 8155.0 DO001
Other services,94,Repair and maintenance,2022,10962.0,18665.0,203.0,58.73,ABS 8155.0 DO001
Other services,94,Repair and maintenance,2023,12056.0,21340.0,213.1,56.49,ABS 8155.0 DO001
Other services,94,Repair and maintenance,2024,13544.0,23282.0,224.4,58.17,ABS 8155.0 DO001
Other services,95,Personal and other services,2022,14267.0,20087.0,344.9,71.03,ABS 8155.0 DO001
Other services,95,Personal and other services,2023,16676.0,24620.0,372.0,67.73,ABS 8155.0 DO001
Other services,95,Personal and other services,2024,18090.0,25694.0,358.7,70.41,ABS 8155.0 DO001
Other services,95,Personal and other services,2022,25229.0,38753.0,547.9,65.1,ABS 8155.0 DO001
Other services,95,Personal and other services,2023,28732.0,45960.0,585.2,62.52,ABS 8155.0 DO001
Other services,95,Personal and other services,2024,31634.0,48976.0,583.2,64.59,ABS 8155.0 DO001
Other services,95,Personal and other services,2022,737183.0,1603972.0,12523.8,45.96,ABS 8155.0 DO001
Other services,95,Personal and other services,2023,820231.0,1830964.0,13025.5,44.8,ABS 8155.0 DO001
Other services,95,Personal and other services,2024,881535.0,1876560.0,13370.6,46.98,ABS 8155.0 DO001
